0	???	Unknown	0	0	0	0
101	17NetworksRHVisCentExStr1	17Networks_RH_VisCent_ExStr_1	124	19	134	255
102	17NetworksRHVisCentExStr2	17Networks_RH_VisCent_ExStr_2	124	19	136	255
103	17NetworksRHVisCentExStr3	17Networks_RH_VisCent_ExStr_3	124	19	137	255
104	17NetworksRHVisCentExStr4	17Networks_RH_VisCent_ExStr_4	124	19	138	255
105	17NetworksRHVisCentExStr5	17Networks_RH_VisCent_ExStr_5	124	19	139	255
106	17NetworksRHVisCentExStr6	17Networks_RH_VisCent_ExStr_6	124	19	140	255
107	17NetworksRHVisPeriExStrSup1	17Networks_RH_VisPeri_ExStrSup_1	250	0	0	255
108	17NetworksRHVisPeriExStrSup2	17Networks_RH_VisPeri_ExStrSup_2	250	0	2	255
109	17NetworksRHVisPeriExStrSup3	17Networks_RH_VisPeri_ExStrSup_3	250	0	3	255
110	17NetworksRHVisPeriExStrSup4	17Networks_RH_VisPeri_ExStrSup_4	250	0	4	255
111	17NetworksRHVisPeriExStrSup5	17Networks_RH_VisPeri_ExStrSup_5	250	0	5	255
112	17NetworksRHVisPeriExStrSup6	17Networks_RH_VisPeri_ExStrSup_6	250	0	6	255
113	17NetworksRHSomMotA1	17Networks_RH_SomMotA_1	74	131	177	255
114	17NetworksRHSomMotA2	17Networks_RH_SomMotA_2	74	131	178	255
115	17NetworksRHSomMotA3	17Networks_RH_SomMotA_3	74	131	179	255
116	17NetworksRHSomMotA4	17Networks_RH_SomMotA_4	74	131	180	255
117	17NetworksRHSomMotA5	17Networks_RH_SomMotA_5	74	131	182	255
118	17NetworksRHSomMotA6	17Networks_RH_SomMotA_6	74	131	183	255
119	17NetworksRHSomMotA7	17Networks_RH_SomMotA_7	74	131	184	255
120	17NetworksRHSomMotA8	17Networks_RH_SomMotA_8	74	131	185	255
121	17NetworksRHSomMotA9	17Networks_RH_SomMotA_9	74	131	186	255
122	17NetworksRHSomMotA10	17Networks_RH_SomMotA_10	74	131	187	255
123	17NetworksRHSomMotA11	17Networks_RH_SomMotA_11	74	131	188	255
124	17NetworksRHSomMotBS21	17Networks_RH_SomMotB_S2_1	47	205	162	255
125	17NetworksRHSomMotBS22	17Networks_RH_SomMotB_S2_2	47	205	163	255
126	17NetworksRHSomMotBS23	17Networks_RH_SomMotB_S2_3	47	205	165	255
127	17NetworksRHSomMotBS24	17Networks_RH_SomMotB_S2_4	47	205	166	255
128	17NetworksRHSomMotBS25	17Networks_RH_SomMotB_S2_5	47	205	167	255
129	17NetworksRHSomMotBS26	17Networks_RH_SomMotB_S2_6	47	205	168	255
130	17NetworksRHSomMotBS27	17Networks_RH_SomMotB_S2_7	47	205	169	255
131	17NetworksRHDorsAttnATempOcc1	17Networks_RH_DorsAttnA_TempOcc_1	78	156	62	255
132	17NetworksRHDorsAttnATempOcc2	17Networks_RH_DorsAttnA_TempOcc_2	78	156	63	255
133	17NetworksRHDorsAttnASPL1	17Networks_RH_DorsAttnA_SPL_1	79	155	62	255
134	17NetworksRHDorsAttnASPL2	17Networks_RH_DorsAttnA_SPL_2	79	155	63	255
135	17NetworksRHDorsAttnASPL3	17Networks_RH_DorsAttnA_SPL_3	79	155	64	255
136	17NetworksRHDorsAttnASPL4	17Networks_RH_DorsAttnA_SPL_4	79	155	65	255
137	17NetworksRHDorsAttnBPostC1	17Networks_RH_DorsAttnB_PostC_1	5	118	16	255
138	17NetworksRHDorsAttnBPostC2	17Networks_RH_DorsAttnB_PostC_2	5	118	17	255
139	17NetworksRHDorsAttnBPostC3	17Networks_RH_DorsAttnB_PostC_3	5	118	18	255
140	17NetworksRHDorsAttnBPostC4	17Networks_RH_DorsAttnB_PostC_4	5	118	19	255
141	17NetworksRHDorsAttnBFEF1	17Networks_RH_DorsAttnB_FEF_1	5	119	15	255
142	17NetworksRHSalVentAttnAParOper1	17Networks_RH_SalVentAttnA_ParOper_1	200	58	250	255
143	17NetworksRHSalVentAttnAPrC1	17Networks_RH_SalVentAttnA_PrC_1	200	57	251	255
144	17NetworksRHSalVentAttnAIns1	17Networks_RH_SalVentAttnA_Ins_1	199	58	251	255
145	17NetworksRHSalVentAttnAIns2	17Networks_RH_SalVentAttnA_Ins_2	199	58	252	255
146	17NetworksRHSalVentAttnAIns3	17Networks_RH_SalVentAttnA_Ins_3	199	58	253	255
147	17NetworksRHSalVentAttnAFrMed1	17Networks_RH_SalVentAttnA_FrMed_1	199	57	251	255
148	17NetworksRHSalVentAttnAFrMed2	17Networks_RH_SalVentAttnA_FrMed_2	199	57	252	255
149	17NetworksRHSalVentAttnAFrMed3	17Networks_RH_SalVentAttnA_FrMed_3	199	57	253	255
150	17NetworksRHSalVentAttnAFrMed4	17Networks_RH_SalVentAttnA_FrMed_4	199	57	254	255
151	17NetworksRHSalVentAttnBIPL1	17Networks_RH_SalVentAttnB_IPL_1	250	152	214	255
152	17NetworksRHSalVentAttnBPFCl1	17Networks_RH_SalVentAttnB_PFCl_1	250	151	214	255
153	17NetworksRHSalVentAttnBPFCl2	17Networks_RH_SalVentAttnB_PFCl_2	250	151	215	255
154	17NetworksRHSalVentAttnBPFCv1	17Networks_RH_SalVentAttnB_PFCv_1	250	152	215	255
155	17NetworksRHSalVentAttnBPFCv2	17Networks_RH_SalVentAttnB_PFCv_2	250	152	216	255
156	17NetworksRHSalVentAttnBPFCmp1	17Networks_RH_SalVentAttnB_PFCmp_1	250	153	214	255
157	17NetworksRHLimbicOFC1	17Networks_RH_Limbic_OFC_1	126	135	52	255
158	17NetworksRHLimbicOFC2	17Networks_RH_Limbic_OFC_2	126	135	53	255
159	17NetworksRHLimbicOFC3	17Networks_RH_Limbic_OFC_3	126	135	54	255
160	17NetworksRHLimbicOFC4	17Networks_RH_Limbic_OFC_4	126	135	55	255
161	17NetworksRHLimbicTempPole1	17Networks_RH_Limbic_TempPole_1	224	248	166	255
162	17NetworksRHLimbicTempPole2	17Networks_RH_Limbic_TempPole_2	224	248	167	255
163	17NetworksRHLimbicTempPole3	17Networks_RH_Limbic_TempPole_3	224	248	168	255
164	17NetworksRHLimbicTempPole4	17Networks_RH_Limbic_TempPole_4	224	248	169	255
165	17NetworksRHContAIPS1	17Networks_RH_ContA_IPS_1	234	147	35	255
